generation,avg_eta_SI,avg_eta_MI,rho_SI,rho_MI,sum_eta_SI,count_SI,sum_eta_MI,count_MI,seed,epoch
0,0,0,0.5,0.5,0.0,0,0.0,0,7,0
1,0,0,0.5,0.5,0.0,0,0.0,0,7,0
2,0,0,0.5,0.5,0.0,0,0.0,0,7,0
3,0,0,0.5,0.5,0.0,0,0.0,0,7,0
4,0,0,0.5,0.5,0.0,0,0.0,0,7,0
5,0,0,0.5,0.5,0.0,0,0.0,0,7,0
6,0,0,0.5,0.5,0.0,0,0.0,0,7,0
7,0,0,0.5,0.5,0.0,0,0.0,0,7,0
8,0,0,0.5,0.5,0.0,0,0.0,0,7,0
9,0,0,0.5,0.5,0.0,0,0.0,0,7,0
10,0,0,0.5,0.5,0.0,0,0.0,0,7,0
11,0,0,0.5,0.5,0.0,0,0.0,0,7,0
12,0,0,0.5,0.5,0.0,0,0.0,0,7,0
13,0,0,0.5,0.5,0.0,0,0.0,0,7,0
14,0,0,0.5,0.5,0.0,0,0.0,0,7,0
15,0,0,0.5,0.5,0.0,0,0.0,0,7,0
16,0,0,0.5,0.5,0.0,0,0.0,0,7,0
17,0,0,0.5,0.5,0.0,0,0.0,0,7,0
18,0,0,0.5,0.5,0.0,0,0.0,0,7,0
19,0,0,0.5,0.5,0.0,0,0.0,0,7,0
20,0,0,0.5,0.5,0.0,0,0.0,0,7,0
21,0,0,0.5,0.5,0.0,0,0.0,0,7,0
22,0,0,0.5,0.5,0.0,0,0.0,0,7,0
23,0,0,0.5,0.5,0.0,0,0.0,0,7,0
24,0,0,0.5,0.5,0.0,0,0.0,0,7,0
25,0,0,0.5,0.5,0.0,0,0.0,0,7,0
26,0,0,0.5,0.5,0.0,0,0.0,0,7,0
27,0,0,0.5,0.5,0.0,0,0.0,0,7,0
28,0,0,0.5,0.5,0.0,0,0.0,0,7,0
29,0,0,0.5,0.5,0.0,0,0.0,0,7,0
30,0,0,0.5,0.5,0.0,0,0.0,0,7,0
31,0,0,0.5,0.5,0.0,0,0.0,0,7,0
32,0,0,0.5,0.5,0.0,0,0.0,0,7,0
33,0,0,0.5,0.5,0.0,0,0.0,0,7,0
34,0,0,0.5,0.5,0.0,0,0.0,0,7,0
35,0,0,0.5,0.5,0.0,0,0.0,0,7,0
36,0,0,0.5,0.5,0.0,0,0.0,0,7,0
37,0,0,0.5,0.5,0.0,0,0.0,0,7,0
38,0,0,0.5,0.5,0.0,0,0.0,0,7,0
39,0,0,0.5,0.5,0.0,0,0.0,0,7,0
40,0,0,0.5,0.5,0.0,0,0.0,0,7,0
41,0,0,0.5,0.5,0.0,0,0.0,0,7,0
42,0,0,0.5,0.5,0.0,0,0.0,0,7,0
43,0,0,0.5,0.5,0.0,0,0.0,0,7,0
44,0,0,0.5,0.5,0.0,0,0.0,0,7,0
45,0,0,0.5,0.5,0.0,0,0.0,0,7,0
46,0,0,0.5,0.5,0.0,0,0.0,0,7,0
47,0,0,0.5,0.5,0.0,0,0.0,0,7,0
48,0,0,0.5,0.5,0.0,0,0.0,0,7,0
49,0,0,0.5,0.5,0.0,0,0.0,0,7,0
50,0,0,0.5,0.5,0.0,0,0.0,0,7,0
0,0,0,0.5,0.5,0.0,0,0.0,0,7,1
1,0,0,0.5,0.5,0.0,0,0.0,0,7,1
2,0,0,0.5,0.5,0.0,0,0.0,0,7,1
3,0,0,0.5,0.5,0.0,0,0.0,0,7,1
4,0,0,0.5,0.5,0.0,0,0.0,0,7,1
5,0,0,0.5,0.5,0.0,0,0.0,0,7,1
6,0,0,0.5,0.5,0.0,0,0.0,0,7,1
7,0,0,0.5,0.5,0.0,0,0.0,0,7,1
8,0,0,0.5,0.5,0.0,0,0.0,0,7,1
9,0,0,0.5,0.5,0.0,0,0.0,0,7,1
10,0,0,0.5,0.5,0.0,0,0.0,0,7,1
11,0,0,0.5,0.5,0.0,0,0.0,0,7,1
12,0,0,0.5,0.5,0.0,0,0.0,0,7,1
13,0,0,0.5,0.5,0.0,0,0.0,0,7,1
14,0,0,0.5,0.5,0.0,0,0.0,0,7,1
15,0,0,0.5,0.5,0.0,0,0.0,0,7,1
16,0,0,0.5,0.5,0.0,0,0.0,0,7,1
17,0,0,0.5,0.5,0.0,0,0.0,0,7,1
18,0,0,0.5,0.5,0.0,0,0.0,0,7,1
19,0,0,0.5,0.5,0.0,0,0.0,0,7,1
20,0,0,0.5,0.5,0.0,0,0.0,0,7,1
21,0,0,0.5,0.5,0.0,0,0.0,0,7,1
22,0,0,0.5,0.5,0.0,0,0.0,0,7,1
23,0,0,0.5,0.5,0.0,0,0.0,0,7,1
24,0,0,0.5,0.5,0.0,0,0.0,0,7,1
25,0,0,0.5,0.5,0.0,0,0.0,0,7,1
26,0,0,0.5,0.5,0.0,0,0.0,0,7,1
27,0,0,0.5,0.5,0.0,0,0.0,0,7,1
28,0,0,0.5,0.5,0.0,0,0.0,0,7,1
29,0,0,0.5,0.5,0.0,0,0.0,0,7,1
30,0,0,0.5,0.5,0.0,0,0.0,0,7,1
31,0,0,0.5,0.5,0.0,0,0.0,0,7,1
32,0,0,0.5,0.5,0.0,0,0.0,0,7,1
33,0,0,0.5,0.5,0.0,0,0.0,0,7,1
34,0,0,0.5,0.5,0.0,0,0.0,0,7,1
35,0,0,0.5,0.5,0.0,0,0.0,0,7,1
36,0,0,0.5,0.5,0.0,0,0.0,0,7,1
37,0,0,0.5,0.5,0.0,0,0.0,0,7,1
38,0,0,0.5,0.5,0.0,0,0.0,0,7,1
39,0,0,0.5,0.5,0.0,0,0.0,0,7,1
40,0,0,0.5,0.5,0.0,0,0.0,0,7,1
41,0,0,0.5,0.5,0.0,0,0.0,0,7,1
42,0,0,0.5,0.5,0.0,0,0.0,0,7,1
43,0,0,0.5,0.5,0.0,0,0.0,0,7,1
44,0,0,0.5,0.5,0.0,0,0.0,0,7,1
45,0,0,0.5,0.5,0.0,0,0.0,0,7,1
46,0,0,0.5,0.5,0.0,0,0.0,0,7,1
47,0,0,0.5,0.5,0.0,0,0.0,0,7,1
48,0,0,0.5,0.5,0.0,0,0.0,0,7,1
49,0,0,0.5,0.5,0.0,0,0.0,0,7,1
50,0,0,0.5,0.5,0.0,0,0.0,0,7,1
0,0,0,0.5,0.5,0.0,0,0.0,0,7,2
1,0,0,0.5,0.5,0.0,0,0.0,0,7,2
2,0,0,0.5,0.5,0.0,0,0.0,0,7,2
3,0,0,0.5,0.5,0.0,0,0.0,0,7,2
4,0,0,0.5,0.5,0.0,0,0.0,0,7,2
5,0,0,0.5,0.5,0.0,0,0.0,0,7,2
6,0,0,0.5,0.5,0.0,0,0.0,0,7,2
7,0,0,0.5,0.5,0.0,0,0.0,0,7,2
8,0,0,0.5,0.5,0.0,0,0.0,0,7,2
9,0,0,0.5,0.5,0.0,0,0.0,0,7,2
10,0,0,0.5,0.5,0.0,0,0.0,0,7,2
11,0,0,0.5,0.5,0.0,0,0.0,0,7,2
12,0,0,0.5,0.5,0.0,0,0.0,0,7,2
13,0,0,0.5,0.5,0.0,0,0.0,0,7,2
14,0,0,0.5,0.5,0.0,0,0.0,0,7,2
15,0,0,0.5,0.5,0.0,0,0.0,0,7,2
16,0,0,0.5,0.5,0.0,0,0.0,0,7,2
17,0,0,0.5,0.5,0.0,0,0.0,0,7,2
18,0,0,0.5,0.5,0.0,0,0.0,0,7,2
19,0,0,0.5,0.5,0.0,0,0.0,0,7,2
20,0,0,0.5,0.5,0.0,0,0.0,0,7,2
21,0,0,0.5,0.5,0.0,0,0.0,0,7,2
22,0,0,0.5,0.5,0.0,0,0.0,0,7,2
23,0,0,0.5,0.5,0.0,0,0.0,0,7,2
24,0,0,0.5,0.5,0.0,0,0.0,0,7,2
25,0,0,0.5,0.5,0.0,0,0.0,0,7,2
26,0,0,0.5,0.5,0.0,0,0.0,0,7,2
27,0,0,0.5,0.5,0.0,0,0.0,0,7,2
28,0,0,0.5,0.5,0.0,0,0.0,0,7,2
29,0,0,0.5,0.5,0.0,0,0.0,0,7,2
30,0,0,0.5,0.5,0.0,0,0.0,0,7,2
31,0,0,0.5,0.5,0.0,0,0.0,0,7,2
32,0,0,0.5,0.5,0.0,0,0.0,0,7,2
33,0,0,0.5,0.5,0.0,0,0.0,0,7,2
34,0,0,0.5,0.5,0.0,0,0.0,0,7,2
35,0,0,0.5,0.5,0.0,0,0.0,0,7,2
36,0,0,0.5,0.5,0.0,0,0.0,0,7,2
37,0,0,0.5,0.5,0.0,0,0.0,0,7,2
38,0,0,0.5,0.5,0.0,0,0.0,0,7,2
39,0,0,0.5,0.5,0.0,0,0.0,0,7,2
40,0,0,0.5,0.5,0.0,0,0.0,0,7,2
41,0,0,0.5,0.5,0.0,0,0.0,0,7,2
42,0,0,0.5,0.5,0.0,0,0.0,0,7,2
43,0,0,0.5,0.5,0.0,0,0.0,0,7,2
44,0,0,0.5,0.5,0.0,0,0.0,0,7,2
45,0,0,0.5,0.5,0.0,0,0.0,0,7,2
46,0,0,0.5,0.5,0.0,0,0.0,0,7,2
47,0,0,0.5,0.5,0.0,0,0.0,0,7,2
48,0,0,0.5,0.5,0.0,0,0.0,0,7,2
49,0,0,0.5,0.5,0.0,0,0.0,0,7,2
50,0,0,0.5,0.5,0.0,0,0.0,0,7,2
51,0,0,0.5,0.5,0.0,0,0.0,0,7,2
52,0,0,0.5,0.5,0.0,0,0.0,0,7,2
53,0,0,0.5,0.5,0.0,0,0.0,0,7,2
54,0,0,0.5,0.5,0.0,0,0.0,0,7,2
55,0,0,0.5,0.5,0.0,0,0.0,0,7,2
56,0,0,0.5,0.5,0.0,0,0.0,0,7,2
57,0,0,0.5,0.5,0.0,0,0.0,0,7,2
58,0,0,0.5,0.5,0.0,0,0.0,0,7,2
59,0,0,0.5,0.5,0.0,0,0.0,0,7,2
60,0,0,0.5,0.5,0.0,0,0.0,0,7,2
61,0,0,0.5,0.5,0.0,0,0.0,0,7,2
62,0,0,0.5,0.5,0.0,0,0.0,0,7,2
63,0,0,0.5,0.5,0.0,0,0.0,0,7,2
64,0,0,0.5,0.5,0.0,0,0.0,0,7,2
65,0,0,0.5,0.5,0.0,0,0.0,0,7,2
66,0,0,0.5,0.5,0.0,0,0.0,0,7,2
