customer,from,arrival_time,departure_time,travel_time,sla_limit,late_seconds,late_minutes,demand,vehicle_load
2,0,25213.1,25333.1,13.1,25860.00000000002,0.0,0.0,1.0,1.0
1,2,25535.6,25655.6,202.5,25860.00000000002,0.0,0.0,1.0,2.0
3,1,25786.6,25906.6,131.0,26220.00000000005,0.0,0.0,1.0,3.0
4,0,26451.3,26571.3,51.3,26820.00000000001,0.0,0.0,1.0,1.0
5,4,26715.0,26835.0,143.7,27419.999999999975,0.0,0.0,1.0,2.0
8,0,27668.3,27788.3,68.3,27959.99999999997,0.0,0.0,1.0,1.0
6,8,27934.6,28054.6,146.3,27780.0,154.59999999999854,2.5766666666666422,1.0,2.0
9,6,28103.399999999998,28223.399999999998,48.8,28680.000000000025,0.0,0.0,1.0,3.0
10,9,28391.399999999998,28511.399999999998,168.0,28680.000000000025,0.0,0.0,1.0,4.0
7,10,28910.699999999997,29030.699999999997,399.3,27900.00000000001,1010.6999999999862,16.844999999999768,1.0,5.0
12,0,29052.699999999997,29172.699999999997,87.1,28860.000000000004,192.69999999999345,3.2116666666665576,2.0,2.0
11,12,29209.6,29329.6,36.9,28800.00000000004,409.5999999999585,6.826666666665975,2.0,4.0
13,11,29442.8,29562.8,113.2,29819.99999999999,0.0,0.0,3.0,7.0
15,13,29606.6,29726.6,43.8,29999.99999999996,0.0,0.0,1.0,8.0
14,15,29802.5,29922.5,75.9,29939.999999999996,0.0,0.0,2.0,10.0
18,0,30103.4,30223.4,103.4,30239.99999999998,0.0,0.0,2.0,2.0
16,18,30307.600000000002,30427.600000000002,84.2,30060.000000000007,247.5999999999949,4.126666666666582,1.0,3.0
19,16,30478.800000000003,30598.800000000003,51.2,30480.0,0.0,0.0,2.0,5.0
17,19,30964.100000000002,31084.100000000002,365.3,30239.99999999998,724.1000000000204,12.068333333333673,1.0,6.0
20,17,31294.600000000002,31414.600000000002,210.5,31140.000000000007,154.5999999999949,2.576666666666582,1.0,7.0
22,0,31266.199999999997,31386.199999999997,35.1,31380.000000000025,0.0,0.0,3.0,3.0
21,22,31453.899999999998,31573.899999999998,67.7,31319.999999999978,133.90000000001965,2.231666666666994,1.0,4.0
23,21,31623.199999999997,31743.199999999997,49.3,31500.00000000004,123.19999999995707,2.053333333332618,1.0,5.0
24,23,31855.399999999998,31975.399999999998,112.2,31979.99999999999,0.0,0.0,1.0,6.0
25,24,32026.1,32146.1,50.7,32159.99999999996,0.0,0.0,1.0,7.0
26,0,32515.9,32635.9,115.9,32639.999999999996,0.0,0.0,1.0,1.0
27,26,32953.700000000004,33073.700000000004,317.8,33600.0,0.0,0.0,1.0,2.0
30,0,33757.4,33877.4,157.4,34679.999999999985,0.0,0.0,2.0,2.0
29,30,34157.4,34277.4,280.0,34559.999999999985,0.0,0.0,1.0,3.0
28,29,34362.9,34482.9,85.5,34500.00000000002,0.0,0.0,1.0,4.0
31,0,34934.8,35054.8,134.8,35700.00000000003,0.0,0.0,1.0,1.0
32,31,35329.700000000004,35449.700000000004,274.9,36000.0,0.0,0.0,1.0,2.0
33,0,36090.8,36210.8,90.8,37020.0,0.0,0.0,1.0,1.0
