generation,time_elapsed_s,best_fitness,mean_fitness,max_fitness,diversity_index,immigrant_ratio,rho_SI,rho_MI,best_route,waktu_tempuh,pelanggaran_sla,penalty_cost
1,0.009113073348999023,1747.6999999999643,2420.239999999964,3344.3999999999614,0.2778815324100126,0.07499066208309887,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
2,0.01313328742980957,1747.6999999999643,2065.9099999999626,2568.2999999999593,0.15402897512476535,0.08613739223877112,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
3,0.015141963958740234,1747.6999999999643,1859.7299999999627,3122.799999999952,0.06023992730127525,0.09457840654288523,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
4,0.01915717124938965,1747.6999999999643,1830.3299999999667,3392.80000000001,0.04514486458726234,0.0959369621871464,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
5,0.02317523956298828,1747.6999999999643,1852.619999999964,3292.8999999999614,0.056633308503633586,0.09490300223467299,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
6,0.02518439292907715,1747.6999999999643,1886.9649999999642,3331.7999999999665,0.07380370065157675,0.0933576669413581,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
7,0.0289459228515625,1747.6999999999643,1787.3649999999645,2506.399999999965,0.02219188582074785,0.0980027302761327,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
8,0.03297257423400879,1747.6999999999643,1848.8899999999642,3688.7999999999665,0.05473013537852538,0.09507428781593273,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
9,0.0349884033203125,1747.6999999999643,1831.6699999999641,3344.3999999999614,0.04584341065803417,0.09587409304077693,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
10,0.03901982307434082,1747.6999999999643,1900.8199999999647,3318.699999999957,0.08055470796814175,0.09275007628286724,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
11,0.04103446006774902,1747.6999999999643,1870.7649999999653,3254.6999999999534,0.0657832490986325,0.09407950758112307,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
12,0.04279589653015137,1747.6999999999643,1867.7849999999642,3399.399999999965,0.06429273176516682,0.09421365414113499,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
13,0.04691720008850098,1747.6999999999643,1857.954999999963,3268.299999999952,0.059342126154832024,0.09465920864606513,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
14,0.04977726936340332,1747.6999999999643,1845.694999999964,2948.899999999958,0.053093821026768545,0.09522155610759084,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
